ダウンロードした時刻：2024/07/09 16:09:27

,浜松,浜松,浜松,浜松,浜松,浜松
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1996/1/4,4.5,8,1,8.5,8,1
1996/1/5,7.0,8,1,13.0,8,1
1996/1/6,9.0,8,1,13.4,8,1
1996/1/7,7.7,8,1,14.1,8,1
1996/1/8,7.2,8,1,13.7,8,1
1996/1/9,1.3,8,1,3.8,8,1
1996/1/10,2.8,8,1,5.8,8,1
1996/1/11,5.5,8,1,10.0,8,1
1996/1/12,6.6,8,1,12.1,8,1
1996/1/13,7.2,8,1,13.6,8,1
1996/1/14,9.1,8,1,14.2,8,1
1996/1/15,13.1,8,1,18.3,8,1
1996/1/16,12.2,8,1,15.8,8,1
1996/1/17,7.2,8,1,10.7,8,1
1996/1/18,7.0,8,1,9.1,8,1
1996/1/19,5.8,8,1,8.3,8,1
1996/1/20,6.7,8,1,11.5,8,1
1996/1/21,7.2,8,1,11.9,8,1
1996/1/22,4.5,8,1,9.1,8,1
1996/1/23,5.5,8,1,10.5,8,1
1996/1/24,3.2,8,1,6.2,8,1
1996/1/25,2.8,8,1,5.9,8,1
1996/1/26,2.8,8,1,6.6,8,1
1996/1/27,3.2,8,1,8.7,8,1
1996/1/28,4.4,8,1,9.2,8,1
1996/1/29,5.6,8,1,10.3,8,1
1996/1/30,3.2,8,1,7.1,8,1
1996/1/31,1.4,8,1,4.9,8,1
1996/2/1,2.1,8,1,5.1,8,1
1996/2/2,0.2,8,1,3.1,8,1
1996/2/3,1.2,8,1,5.7,8,1
1996/2/4,3.4,8,1,8.3,8,1
1996/2/5,5.9,8,1,11.4,8,1
1996/2/6,1.7,8,1,5.3,8,1
1996/2/7,3.8,8,1,10.0,8,1
1996/2/8,5.4,8,1,9.8,8,1
1996/2/9,6.0,8,1,10.8,8,1
1996/2/10,2.5,8,1,7.3,8,1
1996/2/11,3.8,8,1,9.4,8,1
1996/2/12,8.3,8,1,14.1,8,1
1996/2/13,9.8,8,1,15.8,8,1
1996/2/14,13.2,8,1,21.2,8,1
1996/2/15,13.7,8,1,20.8,8,1
1996/2/16,7.3,8,1,12.3,8,1
1996/2/17,3.0,8,1,4.9,8,1
1996/2/18,2.9,8,1,4.6,8,1
1996/2/19,2.8,8,1,7.8,8,1
1996/2/20,3.0,8,1,8.9,8,1
1996/2/21,4.3,8,1,9.5,8,1
1996/2/22,3.5,8,1,9.0,8,1
1996/2/23,4.0,8,1,8.8,8,1
1996/2/24,5.6,8,1,11.6,8,1
1996/2/25,6.9,8,1,10.2,8,1
1996/2/26,8.1,8,1,13.5,8,1
1996/2/27,6.0,8,1,8.5,8,1
1996/2/28,7.0,8,1,12.7,8,1
1996/2/29,8.3,8,1,14.3,8,1
1996/3/1,9.1,8,1,13.7,8,1
1996/3/2,5.2,8,1,9.2,8,1
1996/3/3,4.7,8,1,9.8,8,1
1996/3/4,5.5,8,1,11.5,8,1
1996/3/5,3.7,8,1,8.1,8,1
1996/3/6,4.6,8,1,10.3,8,1
1996/3/7,5.3,8,1,10.5,8,1
1996/3/8,7.9,8,1,13.4,8,1
1996/3/9,6.8,8,1,11.7,8,1
1996/3/10,6.7,8,1,12.3,8,1
1996/3/11,6.9,8,1,12.4,8,1
1996/3/12,4.8,8,1,9.6,8,1
1996/3/13,7.5,8,1,12.6,8,1
1996/3/14,10.4,8,1,16.5,8,1
1996/3/15,9.3,8,1,13.3,8,1
1996/3/16,11.6,8,1,17.5,8,1
1996/3/17,12.1,8,1,15.6,8,1
1996/3/18,9.8,8,1,14.5,8,1
1996/3/19,6.9,8,1,11.7,8,1
1996/3/20,8.6,8,1,12.9,8,1
1996/3/21,11.9,8,1,18.9,8,1
1996/3/22,12.9,8,1,19.0,8,1
1996/3/23,10.1,8,1,14.2,8,1
1996/3/24,9.4,8,1,13.3,8,1
1996/3/25,11.4,8,1,15.9,8,1
1996/3/26,11.7,8,1,17.4,8,1
1996/3/27,12.1,8,1,16.9,8,1
