ダウンロードした時刻：2024/07/10 01:11:24

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1974/7/14,21.3,8,1,25.2,8,1
1974/7/15,23.0,8,1,26.5,8,1
1974/7/16,23.6,8,1,26.3,8,1
1974/7/17,22.5,8,1,24.2,8,1
1974/7/18,21.9,8,1,23.5,8,1
1974/7/19,22.7,8,1,26.4,8,1
1974/7/20,22.5,8,1,26.1,8,1
1974/7/21,22.5,8,1,27.1,8,1
1974/7/22,19.6,8,1,23.5,8,1
1974/7/23,22.1,8,1,27.3,8,1
1974/7/24,23.1,8,1,27.0,8,1
1974/7/25,25.7,8,1,29.8,8,1
1974/7/26,26.0,8,1,30.2,8,1
1974/7/27,26.0,8,1,30.5,8,1
1974/7/28,26.5,8,1,30.2,8,1
1974/7/29,26.8,8,1,31.0,8,1
1974/7/30,27.7,8,1,31.9,8,1
1974/7/31,27.0,8,1,30.8,8,1
1974/8/1,26.2,8,1,30.5,8,1
1974/8/2,26.3,8,1,31.2,8,1
1974/8/3,26.8,8,1,31.3,8,1
1974/8/4,27.1,8,1,31.6,8,1
1974/8/5,27.2,8,1,31.1,8,1
1974/8/6,27.9,8,1,33.1,8,1
1974/8/7,28.3,8,1,32.8,8,1
1974/8/8,26.6,8,1,31.3,8,1
1974/8/9,26.7,8,1,30.5,8,1
1974/8/10,26.4,8,1,30.0,8,1
1974/8/11,27.0,8,1,31.0,8,1
1974/8/12,27.6,8,1,31.6,8,1
1974/8/13,27.6,8,1,32.1,8,1
1974/8/14,27.6,8,1,32.1,8,1
1974/8/15,26.3,8,1,30.4,8,1
1974/8/16,24.8,8,1,27.9,8,1
1974/8/17,23.0,8,1,23.9,8,1
1974/8/18,24.2,8,1,26.3,8,1
1974/8/19,26.1,8,1,30.5,8,1
1974/8/20,26.7,8,1,31.1,8,1
1974/8/21,26.3,8,1,29.7,8,1
1974/8/22,25.7,8,1,29.5,8,1
1974/8/23,27.1,8,1,31.8,8,1
1974/8/24,27.2,8,1,31.0,8,1
1974/8/25,25.8,8,1,28.1,8,1
1974/8/26,25.1,8,1,27.2,8,1
1974/8/27,25.5,8,1,28.5,8,1
1974/8/28,26.7,8,1,31.0,8,1
1974/8/29,26.8,8,1,30.9,8,1
1974/8/30,26.1,8,1,30.1,8,1
1974/8/31,25.5,8,1,28.1,8,1
1974/9/1,24.5,8,1,27.3,8,1
1974/9/2,25.9,8,1,28.2,8,1
1974/9/3,27.2,8,1,30.0,8,1
1974/9/4,22.7,8,1,25.6,8,1
1974/9/5,24.9,8,1,28.7,8,1
1974/9/6,24.8,8,1,28.3,8,1
1974/9/7,26.0,8,1,30.1,8,1
1974/9/8,27.1,8,1,30.1,8,1
1974/9/9,25.2,8,1,28.4,8,1
1974/9/10,24.4,8,1,27.8,8,1
1974/9/11,23.4,8,1,26.7,8,1
1974/9/12,23.1,8,1,26.7,8,1
1974/9/13,22.0,8,1,24.7,8,1
1974/9/14,22.0,8,1,24.5,8,1
1974/9/15,24.7,8,1,27.6,8,1
1974/9/16,19.6,8,1,23.0,8,1
1974/9/17,19.4,8,1,20.5,8,1
1974/9/18,21.6,8,1,25.3,8,1
1974/9/19,20.4,8,1,22.2,8,1
1974/9/20,19.8,8,1,22.6,8,1
1974/9/21,18.3,8,1,20.5,8,1
1974/9/22,16.4,8,1,17.5,8,1
1974/9/23,19.1,8,1,24.2,8,1
1974/9/24,17.7,8,1,18.8,8,1
1974/9/25,22.0,8,1,26.5,8,1
1974/9/26,20.2,8,1,21.7,8,1
1974/9/27,19.6,8,1,20.7,8,1
1974/9/28,20.7,8,1,24.3,8,1
1974/9/29,22.0,8,1,25.1,8,1
1974/9/30,20.5,8,1,24.7,8,1
1974/10/1,19.5,8,1,22.3,8,1
1974/10/2,17.5,8,1,19.5,8,1
1974/10/3,17.2,8,1,17.7,8,1
1974/10/4,20.0,8,1,23.5,8,1
1974/10/5,19.2,8,1,23.6,8,1
1974/10/6,17.8,8,1,21.9,8,1
1974/10/7,18.7,8,1,22.7,8,1
1974/10/8,17.9,8,1,19.8,8,1
1974/10/9,21.7,8,1,26.4,8,1
1974/10/10,20.1,8,1,22.6,8,1
1974/10/11,17.9,8,1,19.4,8,1
1974/10/12,16.1,8,1,17.3,8,1
1974/10/13,14.8,8,1,16.5,8,1
1974/10/14,16.7,8,1,21.1,8,1
1974/10/15,16.9,8,1,19.7,8,1
1974/10/16,17.5,8,1,21.5,8,1
1974/10/17,16.6,8,1,19.5,8,1
1974/10/18,17.8,8,1,20.4,8,1
