ダウンロードした時刻：2024/07/09 16:08:10

,浜松,浜松,浜松,浜松,浜松,浜松
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1985/7/15,26.0,8,1,29.5,8,1
1985/7/16,24.2,8,1,28.9,8,1
1985/7/17,24.9,8,1,28.9,8,1
1985/7/18,27.2,8,1,30.2,8,1
1985/7/19,27.3,8,1,30.4,8,1
1985/7/20,27.5,8,1,31.2,8,1
1985/7/21,27.4,8,1,30.6,8,1
1985/7/22,26.9,8,1,30.7,8,1
1985/7/23,26.3,8,1,29.5,8,1
1985/7/24,26.9,8,1,31.1,8,1
1985/7/25,27.5,8,1,30.9,8,1
1985/7/26,28.2,8,1,34.8,8,1
1985/7/27,28.0,8,1,32.4,8,1
1985/7/28,27.5,8,1,31.4,8,1
1985/7/29,27.4,8,1,31.2,8,1
1985/7/30,27.4,8,1,31.0,8,1
1985/7/31,27.7,8,1,30.9,8,1
1985/8/1,27.4,8,1,30.7,8,1
1985/8/2,27.7,8,1,31.6,8,1
1985/8/3,27.2,8,1,31.4,8,1
1985/8/4,27.6,8,1,31.7,8,1
1985/8/5,26.9,8,1,31.4,8,1
1985/8/6,24.9,8,1,28.6,8,1
1985/8/7,26.1,8,1,29.3,8,1
1985/8/8,27.3,8,1,30.6,8,1
1985/8/9,26.7,8,1,30.4,8,1
1985/8/10,24.6,8,1,28.7,8,1
1985/8/11,26.4,8,1,31.4,8,1
1985/8/12,26.0,8,1,28.8,8,1
1985/8/13,26.7,8,1,30.9,8,1
1985/8/14,26.5,8,1,30.5,8,1
1985/8/15,27.5,8,1,31.4,8,1
1985/8/16,26.8,8,1,30.0,8,1
1985/8/17,27.7,8,1,31.4,8,1
1985/8/18,28.0,8,1,31.6,8,1
1985/8/19,27.9,8,1,31.2,8,1
1985/8/20,27.9,8,1,30.9,8,1
1985/8/21,26.4,8,1,29.8,8,1
1985/8/22,26.6,8,1,29.9,8,1
1985/8/23,25.8,8,1,29.2,8,1
1985/8/24,25.5,8,1,29.2,8,1
1985/8/25,25.6,8,1,29.6,8,1
1985/8/26,26.4,8,1,29.3,8,1
1985/8/27,26.8,8,1,31.0,8,1
1985/8/28,27.1,8,1,30.3,8,1
1985/8/29,28.0,8,1,32.3,8,1
1985/8/30,28.9,8,1,33.9,8,1
1985/8/31,26.7,8,1,29.5,8,1
1985/9/1,27.1,8,1,30.5,8,1
1985/9/2,29.0,8,1,33.8,8,1
1985/9/3,27.5,8,1,30.1,8,1
1985/9/4,26.5,8,1,30.3,8,1
1985/9/5,27.0,8,1,31.6,8,1
1985/9/6,27.0,8,1,30.9,8,1
1985/9/7,25.0,8,1,29.0,8,1
1985/9/8,26.0,8,1,31.0,8,1
1985/9/9,24.8,8,1,30.7,8,1
1985/9/10,25.9,8,1,31.6,8,1
1985/9/11,26.0,8,1,30.0,8,1
1985/9/12,26.4,8,1,30.3,8,1
1985/9/13,23.3,8,1,27.7,8,1
1985/9/14,23.4,8,1,28.0,8,1
1985/9/15,22.1,8,1,24.3,8,1
1985/9/16,22.9,8,1,26.5,8,1
1985/9/17,22.3,8,1,24.4,8,1
1985/9/18,23.5,8,1,28.4,8,1
1985/9/19,26.3,8,1,31.6,8,1
1985/9/20,26.6,8,1,31.3,8,1
1985/9/21,24.4,8,1,27.5,8,1
1985/9/22,24.2,8,1,26.8,8,1
1985/9/23,21.2,8,1,23.4,8,1
1985/9/24,20.8,8,1,23.5,8,1
1985/9/25,20.5,8,1,22.0,8,1
1985/9/26,22.2,8,1,26.3,8,1
1985/9/27,20.9,8,1,22.7,8,1
1985/9/28,19.3,8,1,21.1,8,1
1985/9/29,19.4,8,1,20.3,8,1
1985/9/30,21.6,8,1,27.4,8,1
1985/10/1,20.8,8,1,26.4,8,1
1985/10/2,19.5,8,1,25.3,8,1
1985/10/3,19.7,8,1,25.5,8,1
1985/10/4,21.3,8,1,25.8,8,1
1985/10/5,20.3,8,1,23.3,8,1
1985/10/6,19.8,8,1,22.6,8,1
1985/10/7,21.3,8,1,25.9,8,1
1985/10/8,19.7,8,1,24.2,8,1
1985/10/9,19.5,8,1,24.9,8,1
1985/10/10,21.6,8,1,26.1,8,1
1985/10/11,20.6,8,1,23.1,8,1
1985/10/12,22.7,8,1,26.3,8,1
1985/10/13,23.7,8,1,26.8,8,1
1985/10/14,19.6,8,1,23.6,8,1
1985/10/15,17.2,8,1,22.2,8,1
1985/10/16,18.0,8,1,22.9,8,1
1985/10/17,18.6,8,1,22.4,8,1
1985/10/18,15.2,8,1,16.7,8,1
1985/10/19,15.8,8,1,21.5,8,1
1985/10/20,16.0,8,1,19.2,8,1
1985/10/21,16.2,8,1,21.2,8,1
1985/10/22,16.0,8,1,20.9,8,1
1985/10/23,17.0,8,1,22.4,8,1
1985/10/24,17.5,8,1,21.9,8,1
1985/10/25,15.2,8,1,20.1,8,1
1985/10/26,15.3,8,1,17.9,8,1
1985/10/27,16.4,8,1,21.6,8,1
1985/10/28,16.8,8,1,21.3,8,1
1985/10/29,16.6,8,1,17.8,8,1
1985/10/30,17.0,8,1,18.7,8,1
1985/10/31,18.3,8,1,22.7,8,1
1985/11/1,17.8,8,1,22.1,8,1
1985/11/2,14.6,8,1,18.8,8,1
1985/11/3,13.3,8,1,18.8,8,1
1985/11/4,15.4,8,1,20.7,8,1
1985/11/5,16.3,8,1,20.9,8,1
1985/11/6,16.8,8,1,18.5,8,1
1985/11/7,17.4,8,1,20.4,8,1
1985/11/8,18.2,8,1,23.6,8,1
1985/11/9,17.5,8,1,23.3,8,1
1985/11/10,15.9,8,1,20.7,8,1
1985/11/11,13.3,8,1,17.4,8,1
1985/11/12,11.9,8,1,16.0,8,1
1985/11/13,10.7,8,1,14.3,8,1
1985/11/14,10.4,8,1,14.0,8,1
1985/11/15,10.5,8,1,14.2,8,1
1985/11/16,9.9,8,1,12.0,8,1
1985/11/17,10.8,8,1,13.9,8,1
1985/11/18,10.4,8,1,14.3,8,1
1985/11/19,9.8,8,1,14.5,8,1
1985/11/20,9.1,8,1,14.2,8,1
1985/11/21,11.0,8,1,17.5,8,1
1985/11/22,13.8,8,1,19.5,8,1
1985/11/23,15.7,8,1,19.9,8,1
1985/11/24,11.9,8,1,14.4,8,1
1985/11/25,7.6,8,1,10.6,8,1
