ダウンロードした時刻：2024/07/10 01:13:36

,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1974/11/27,11.3,8,1,16.3,8,1
1974/11/28,12.0,8,1,16.9,8,1
1974/11/29,12.7,8,1,18.1,8,1
1974/11/30,8.5,8,1,13.0,8,1
1974/12/1,7.8,8,1,11.7,8,1
1974/12/2,5.6,8,1,7.3,8,1
1974/12/3,8.3,8,1,10.8,8,1
1974/12/4,7.7,8,1,10.1,8,1
1974/12/5,7.5,8,1,11.4,8,1
1974/12/6,6.5,8,1,10.0,8,1
1974/12/7,6.7,8,1,12.3,8,1
1974/12/8,6.2,8,1,10.0,8,1
1974/12/9,7.5,8,1,12.4,8,1
1974/12/10,5.6,8,1,7.4,8,1
1974/12/11,8.4,8,1,10.2,8,1
1974/12/12,7.7,8,1,12.0,8,1
1974/12/13,5.4,8,1,8.9,8,1
1974/12/14,7.6,8,1,15.7,8,1
1974/12/15,5.7,8,1,10.4,8,1
1974/12/16,5.5,8,1,10.0,8,1
1974/12/17,5.9,8,1,9.7,8,1
1974/12/18,6.2,8,1,9.9,8,1
1974/12/19,8.3,8,1,11.1,8,1
1974/12/20,5.8,8,1,8.5,8,1
1974/12/21,5.4,8,1,10.0,8,1
1974/12/22,5.7,8,1,10.1,8,1
1974/12/23,6.4,8,1,10.1,8,1
1974/12/24,8.0,8,1,14.0,8,1
1974/12/25,9.2,8,1,15.3,8,1
1974/12/26,7.2,8,1,12.1,8,1
1974/12/27,7.0,8,1,11.8,8,1
1974/12/28,6.6,8,1,9.4,8,1
1974/12/29,4.3,8,1,7.2,8,1
1974/12/30,5.5,8,1,8.7,8,1
1974/12/31,6.2,8,1,11.1,8,1
1975/1/1,4.7,8,1,5.6,8,1
1975/1/2,2.5,8,1,4.2,8,1
1975/1/3,4.0,8,1,8.6,8,1
1975/1/4,2.6,8,1,6.3,8,1
1975/1/5,2.0,8,1,5.8,8,1
1975/1/6,3.9,8,1,8.7,8,1
1975/1/7,4.5,8,1,10.4,8,1
1975/1/8,4.4,8,1,6.0,8,1
1975/1/9,6.7,8,1,12.4,8,1
1975/1/10,5.1,8,1,10.3,8,1
1975/1/11,3.8,8,1,9.1,8,1
1975/1/12,3.5,8,1,9.0,8,1
1975/1/13,3.2,8,1,8.0,8,1
1975/1/14,4.8,8,1,10.0,8,1
1975/1/15,5.8,8,1,11.5,8,1
1975/1/16,5.2,8,1,7.8,8,1
1975/1/17,5.3,8,1,8.4,8,1
1975/1/18,3.6,8,1,9.2,8,1
1975/1/19,3.5,8,1,8.2,8,1
1975/1/20,4.0,8,1,9.3,8,1
1975/1/21,4.7,8,1,9.1,8,1
1975/1/22,3.4,8,1,7.0,8,1
1975/1/23,6.4,8,1,10.2,8,1
1975/1/24,5.7,8,1,10.4,8,1
1975/1/25,11.3,8,1,17.6,8,1
1975/1/26,6.4,8,1,7.5,8,1
1975/1/27,4.9,8,1,6.5,8,1
1975/1/28,6.5,8,1,11.1,8,1
1975/1/29,3.6,8,1,7.1,8,1
1975/1/30,3.8,8,1,8.4,8,1
1975/1/31,4.7,8,1,9.3,8,1
1975/2/1,5.8,8,1,10.6,8,1
1975/2/2,6.2,8,1,7.7,8,1
1975/2/3,4.6,8,1,8.2,8,1
1975/2/4,2.9,8,1,5.2,8,1
1975/2/5,8.2,8,1,13.2,8,1
1975/2/6,7.0,8,1,10.3,8,1
1975/2/7,6.9,8,1,10.5,8,1
1975/2/8,5.7,8,1,10.0,8,1
1975/2/9,5.6,8,1,9.2,8,1
1975/2/10,4.5,8,1,8.5,8,1
